Title,Title_URL,Image,gs_ai_aff,gs_ai_eml,Number,gs_ai_one_int,gs_ai_one_int2,gs_ai_one_int4,,,hi
Sonja Jozić,https://scholar.google.com/citations?hl=en&user=LkhFLsAAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=LkhFLsAAAAAJ&citpid=1,"Sveučilište u Splitu, FESB",Verified email at fesb.hr,303,metal cutting and metal casting processes,non-conventional machining processes,control and monitoring of machining …,,,8
Tea Marasović,https://scholar.google.com/citations?hl=en&user=Saq9by0AAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"University of Split, Faculty of Electrical Engineering, Mechanical Engineering and Naval",Verified email at fesb.hr,300,Machine Learning,Signal Processing,Computer Vision,,,8
Toni Jakovcevic,https://scholar.google.com/citations?hl=en&user=zgG31WcAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"University of Split, www.unist.hr",Verified email at fesb.hr,296,,,,,,8
Mišo Jurčević,https://scholar.google.com/citations?hl=en&user=DAWJHDMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=DAWJHDMAAAAJ&citpid=1,"University of Split Faculty of Electrical Engineering, Mechanical Engineering and Naval …",Verified email at fesb.hr,295,Fluid Mechanics,Thermodynamcs,,,,8
Josko Radić,https://scholar.google.com/citations?hl=en&user=JSqHGlQAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"University of Split, Faculty of Electrical Engineering, Mechanical Engineering and Naval",Verified email at fesb.hr,290,OFDM Systems,Modulation,Signal processing,,,8
Željko Penga,https://scholar.google.com/citations?hl=en&user=AoXsIi0AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=AoXsIi0AAAAJ&citpid=9,"Faculty of electrical engineering, mechanical engineering and naval architecture (FESB) …",Verified email at fesb.hr,263,PEM fuel cells,Computational fluid dynamics,Renwable energy systems,,,9
Ivo Stančić,https://scholar.google.com/citations?hl=en&user=C2P1GHUAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=C2P1GHUAAAAJ&citpid=2,"University of Split, unist.hr, Faculty of Electrical Engineering, Mechanical Engineering and …",Verified email at fesb.hr,260,Computer vision,Machine Learning,Electronics,,,9
Srdjan Podrug,https://scholar.google.com/citations?hl=en&user=Bcsio7QAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=Bcsio7QAAAAJ&citpid=3,"University of Split unist.hr, FESB",Verified email at fesb.hr,246,Machine Elements,Fatigue,Fracture Mechanics,,,8
Ana Kuzmanić Skelin,https://scholar.google.com/citations?hl=en&user=WnRSJtwAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"University of Split, Faculty of electrical engineering, mechanical engineering and naval",Verified email at fesb.hr,246,,,,,,6
Frane Vlak,https://scholar.google.com/citations?hl=en&user=D9PFN64AAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"University of Split, Faculty of Electrical Engineering, Mechanical Engineering and Naval",Verified email at fesb.hr,212,thin walled structures,mechanics of materials,FEM,,,5
Goran Gašparović,https://scholar.google.com/citations?hl=en&user=ADfL-MwAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=ADfL-MwAAAAJ&citpid=3,UNIST-FESB,Verified email at fesb.hr,206,Energy Planning,Data Science,Energy Storage,,,6
Matko Šarić,https://scholar.google.com/citations?hl=en&user=0w4TUZsAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"Assistant Professor, University of Split",Verified email at fesb.hr,198,,,,,,8
Luka Celent,https://scholar.google.com/citations?hl=en&user=Bp3OYvUAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=Bp3OYvUAAAAJ&citpid=3,"Teaching and research assistant at FESB, University of Split Unist.hr",Verified email at fesb.hr,185,Manufacturing Engineering and Technology,Machine tools and systems,Sustainable manufacturing,,,5
Branko Blagojević,https://scholar.google.com/citations?hl=en&user=ms4bGFgAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"University of Split, Faculty of Electrical Engineering, Mechanical Engineering and Naval …",Verified email at fesb.hr,177,Ship Design,Ship Hydrodynamics,Structural Reliability,,,8
Vedrana Cvitanić,https://scholar.google.com/citations?hl=en&user=B1OVmGkAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"Professor, University of Split, Faculty of Electrical Engineering, Mechanical Engineering and …",Verified email at fesb.hr,177,Theory of plasticity,Continuum mechanics,Finite element method,,,4
Anna Šušnjara,https://scholar.google.com/citations?hl=en&user=Yz05FNwAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=Yz05FNwAAAAJ&citpid=2,"Postdoc researcher, University of Split, FESB",Verified email at fesb.hr,161,bioelectromagnetism,computational electromagnetics,sensitivity analysis,,,6
Marin Despalatović,https://scholar.google.com/citations?hl=en&user=60f9CGEAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"University of Split, FESB",Verified email at fesb.hr,158,electrical machines and drives,power electronics,,,,7
Marin Bugarić,https://scholar.google.com/citations?hl=en&user=xriWnMQAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=xriWnMQAAAAJ&citpid=2,"University of Split, FESB unist.hr",Verified email at fesb.hr,157,Augmented Reality,Smoke detection,GIS,,,7
Maja Škiljo,https://scholar.google.com/citations?hl=en&user=P_v4YJoAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=P_v4YJoAAAAJ&citpid=1,"Associate professor, University of Split",Verified email at fesb.hr,156,Radio propagation,wireless communications,antennas,,,6
Ivo Mateljan,https://scholar.google.com/citations?hl=en&user=x2GpGnUAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=x2GpGnUAAAAJ&citpid=5,"Professor of electrical engineering (retired), University of Split, Croatia, unist.hr",Verified email at fesb.hr,142,virtual instrumentation,acoustics,programming,,,5
Julije Ožegović,https://scholar.google.com/citations?hl=en&user=ZnZXR0EAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"Full Professor, University of Split, unist.hr, Faculty of Elecrtical Engineering, Mechanical …",Verified email at fesb.hr,142,computing,electronic design,,,,7
Amanda Aljinović,https://scholar.google.com/citations?hl=en&user=BqVSdwMAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"Research Assistant, University of Split, Faculty of Electrical Engineering, Mechanical …",Verified email at fesb.hr,129,assembly line,assembly line complexity,design engineering,,,8
Dunja Božić-Štulić,https://scholar.google.com/citations?hl=en&user=KlwP_5QAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=KlwP_5QAAAAJ&citpid=1,Sveučilište u Splitu/ University of Split,Verified email at fesb.hr,120,Računarstvo,,,,,6
Tomislav Kilić,https://scholar.google.com/citations?hl=en&user=CMwf7ukAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"University of Split, Faculty of Electrical Engineering, Mechanical Engineering and Naval …",Verified email at fesb.hr,119,Electrical Engineering,Power quality,Electrical Measurements,,,7
Branka Bužančić Primorac,https://scholar.google.com/citations?hl=en&user=t-ophbsAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=t-ophbsAAAAJ&citpid=1,"University of Split unist.hr Faculty of Electrical Engineering, Mechanical Engineering and …",Verified email at fesb.hr,119,Mechanic of rigid and deformable bodies,,,,,6
Dario Ban,https://scholar.google.com/citations?hl=en&user=9SaZqyEAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"Assistant Professor, University of Split, unist.hr",Verified email at fesb.hr,115,Computational Geometry,Ship Design,Ship Stability,,,6
Ozren Bego,https://scholar.google.com/citations?hl=en&user=1i1wOzUAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"Assosiate Professor, University of Split, FESB",Verified email at fesb.hr,100,industrial automation,renawable energy sources,energy storage,,,4
Maja Braović,https://scholar.google.com/citations?hl=en&user=6_iQCEEAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"University of Split, unist.hr, FESB",Verified email at fesb.hr,94,Artificial Intelligence,Machine Learning,Computer Vision,,,5
Danijel Jolevski,https://scholar.google.com/citations?hl=en&user=TQEiBh4AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=TQEiBh4AAAAJ&citpid=1,"University of Split, FESB",Verified email at fesb.hr,91,,,,,,4
Igor Pehnec,https://scholar.google.com/citations?hl=en&user=NK6ckmgAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=NK6ckmgAAAAJ&citpid=2,"FESB, University of Split unist.hr, Croatia",Verified email at fesb.hr,84,Fluid mechanics,CFD,Hidraulic Machines,,,5
Milan Ćurković,https://scholar.google.com/citations?hl=en&user=_e8fxf0AAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"University of Split, Faculty of Electrical Engineering, Mechanical Engineering and Naval",Verified email at fesb.hr,79,3D scanning,parameterization,optimization,,,6
Anita Carević,https://scholar.google.com/citations?hl=en&user=okQOIQ4AAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"University of Split, FESB",Verified email at fesb.hr,75,Numerical linear algebra,,,,,6
Ivan Marasović,https://scholar.google.com/citations?hl=en&user=tjzzYesAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"Assistent professor, University of Split",Verified email at fesb.hr,73,Electronics,Photovoltaics,,,,4
